epoch: 0, mdn loss: 1.3863287389278411, prediction loss: 0.8735826134681701
epoch: 1, mdn loss: 1.1078652262687683, prediction loss: 0.5046704426407814
epoch: 2, mdn loss: 0.9874851882457734, prediction loss: 0.45116428583860396
epoch: 3, mdn loss: 0.9692311376333237, prediction loss: 0.4474898636341095
epoch: 4, mdn loss: 0.96610988676548, prediction loss: 0.4468598276376724
epoch: 5, mdn loss: 0.9653584778308868, prediction loss: 0.44671409875154494
epoch: 6, mdn loss: 0.965021550655365, prediction loss: 0.44666241854429245
epoch: 7, mdn loss: 0.9648716360330581, prediction loss: 0.44665475487709044
epoch: 8, mdn loss: 0.9647398680448532, prediction loss: 0.44659799337387085
epoch: 9, mdn loss: 0.9645473957061768, prediction loss: 0.4465877428650856
epoch: 10, mdn loss: 0.9644973516464234, prediction loss: 0.44652829468250277
epoch: 11, mdn loss: 0.964423531293869, prediction loss: 0.44652202874422076
epoch: 12, mdn loss: 0.964356443285942, prediction loss: 0.44651500433683394
epoch: 13, mdn loss: 0.9643428742885589, prediction loss: 0.446500663459301
epoch: 14, mdn loss: 0.9642085522413254, prediction loss: 0.4464445561170578
epoch: 15, mdn loss: 0.9641658514738083, prediction loss: 0.4464599832892418
epoch: 16, mdn loss: 0.9641288816928864, prediction loss: 0.44644805043935776
epoch: 17, mdn loss: 0.964073047041893, prediction loss: 0.44642847031354904
epoch: 18, mdn loss: 0.964031708240509, prediction loss: 0.44639144092798233
epoch: 19, mdn loss: 0.9640405118465424, prediction loss: 0.44637729972600937
epoch: 20, mdn loss: 0.9639858365058899, prediction loss: 0.44640062004327774
epoch: 21, mdn loss: 0.9638932704925537, prediction loss: 0.44636045545339587
epoch: 22, mdn loss: 0.9638625353574752, prediction loss: 0.4463177785277367
epoch: 23, mdn loss: 0.9638863444328308, prediction loss: 0.4463358253240585
epoch: 24, mdn loss: 0.963894185423851, prediction loss: 0.4463721990585327
epoch: 25, mdn loss: 0.9637698560953141, prediction loss: 0.44629705399274827
epoch: 26, mdn loss: 0.9637870699167251, prediction loss: 0.44629369378089906
epoch: 27, mdn loss: 0.9637271910905838, prediction loss: 0.44625678807497027
epoch: 28, mdn loss: 0.9636864185333252, prediction loss: 0.44624239206314087
epoch: 29, mdn loss: 0.9637355506420135, prediction loss: 0.4462424710392952
epoch: 30, mdn loss: 0.9636888891458512, prediction loss: 0.44622547179460526
epoch: 31, mdn loss: 0.9637010037899018, prediction loss: 0.44620655477046967
epoch: 32, mdn loss: 0.9636307418346405, prediction loss: 0.44618974030017855
epoch: 33, mdn loss: 0.9636150807142257, prediction loss: 0.44617217779159546
epoch: 34, mdn loss: 0.9636078894138336, prediction loss: 0.44617425054311755
epoch: 35, mdn loss: 0.9635831713676453, prediction loss: 0.4461509346961975
epoch: 36, mdn loss: 0.9636082649230957, prediction loss: 0.44612480998039244
epoch: 37, mdn loss: 0.9636007696390152, prediction loss: 0.44614861011505125
epoch: 38, mdn loss: 0.9635552912950516, prediction loss: 0.4461342379450798
