epoch: 0, mdn loss: 0.9639610201120377, prediction loss: 0.44617345482110976
epoch: 1, mdn loss: 0.9636079430580139, prediction loss: 0.4460183873772621
epoch: 2, mdn loss: 0.9634482353925705, prediction loss: 0.44596455097198484
epoch: 3, mdn loss: 0.9633568465709687, prediction loss: 0.44593568444252013
epoch: 4, mdn loss: 0.9632872045040131, prediction loss: 0.44591291397809985
epoch: 5, mdn loss: 0.9632074058055877, prediction loss: 0.4458830237388611
epoch: 6, mdn loss: 0.9631406545639039, prediction loss: 0.4458769917488098
epoch: 7, mdn loss: 0.963089120388031, prediction loss: 0.4458477422595024
epoch: 8, mdn loss: 0.963027948141098, prediction loss: 0.4458352580666542
epoch: 9, mdn loss: 0.9629746586084366, prediction loss: 0.445824559032917
epoch: 10, mdn loss: 0.9629417359828949, prediction loss: 0.4458233371376991
epoch: 11, mdn loss: 0.9628541380167007, prediction loss: 0.44579706341028214
epoch: 12, mdn loss: 0.9628025740385056, prediction loss: 0.44577793031930923
epoch: 13, mdn loss: 0.9627259969711304, prediction loss: 0.44577663242816923
epoch: 14, mdn loss: 0.9627017021179199, prediction loss: 0.4457598730921745
epoch: 15, mdn loss: 0.9626593917608262, prediction loss: 0.445745250582695
epoch: 16, mdn loss: 0.9625383257865906, prediction loss: 0.4457178577780724
epoch: 17, mdn loss: 0.9625126242637634, prediction loss: 0.4457117661833763
epoch: 18, mdn loss: 0.9623927801847458, prediction loss: 0.4456732451915741
epoch: 19, mdn loss: 0.9623355060815811, prediction loss: 0.4456652984023094
epoch: 20, mdn loss: 0.962249681353569, prediction loss: 0.44564913362264635
epoch: 21, mdn loss: 0.9622284024953842, prediction loss: 0.44562278538942335
epoch: 22, mdn loss: 0.9621478348970414, prediction loss: 0.44560471177101135
epoch: 23, mdn loss: 0.9620717078447342, prediction loss: 0.4455803379416466
epoch: 24, mdn loss: 0.9620103031396866, prediction loss: 0.4455670714378357
epoch: 25, mdn loss: 0.9619233399629593, prediction loss: 0.4455531448125839
epoch: 26, mdn loss: 0.9618489891290665, prediction loss: 0.4455260381102562
epoch: 27, mdn loss: 0.9617960691452027, prediction loss: 0.44551048427820206
epoch: 28, mdn loss: 0.9617221236228943, prediction loss: 0.44548566788434985
epoch: 29, mdn loss: 0.9616788268089295, prediction loss: 0.445466123521328
epoch: 30, mdn loss: 0.9615944206714631, prediction loss: 0.4454485073685646
epoch: 31, mdn loss: 0.9615309059619903, prediction loss: 0.4454272955656052
epoch: 32, mdn loss: 0.9614331305027009, prediction loss: 0.4453956037759781
epoch: 33, mdn loss: 0.9613760471343994, prediction loss: 0.4453848645091057
epoch: 34, mdn loss: 0.9613210439682007, prediction loss: 0.4453795224428177
epoch: 35, mdn loss: 0.9612630993127823, prediction loss: 0.4453486785292625
epoch: 36, mdn loss: 0.9611893564462661, prediction loss: 0.4453399509191513
epoch: 37, mdn loss: 0.9611451536417007, prediction loss: 0.44532358199357985
epoch: 38, mdn loss: 0.961156353354454, prediction loss: 0.44529557079076765
epoch: 39, mdn loss: 0.9610385507345199, prediction loss: 0.4452676221728325
epoch: 40, mdn loss: 0.9609773099422455, prediction loss: 0.44525180757045746
epoch: 41, mdn loss: 0.9609131038188934, prediction loss: 0.44523253589868544
epoch: 42, mdn loss: 0.9608173906803131, prediction loss: 0.44520756006240847
epoch: 43, mdn loss: 0.960761696100235, prediction loss: 0.4451989963650703
epoch: 44, mdn loss: 0.9606789201498032, prediction loss: 0.44518823772668836
epoch: 45, mdn loss: 0.9606451511383056, prediction loss: 0.4451564013957977
epoch: 46, mdn loss: 0.9605942040681839, prediction loss: 0.44513451159000395
epoch: 47, mdn loss: 0.9605230569839478, prediction loss: 0.44511673897504805
epoch: 48, mdn loss: 0.9604784965515136, prediction loss: 0.44510680586099627
epoch: 49, mdn loss: 0.9603872388601303, prediction loss: 0.4450743794441223
epoch: 50, mdn loss: 0.9603158146142959, prediction loss: 0.44508709460496904
epoch: 51, mdn loss: 0.9603207767009735, prediction loss: 0.44505495578050613
epoch: 52, mdn loss: 0.9602086812257766, prediction loss: 0.44504047483205794
epoch: 53, mdn loss: 0.9602096825838089, prediction loss: 0.4450189933180809
epoch: 54, mdn loss: 0.9601535618305206, prediction loss: 0.44501001238822935
epoch: 55, mdn loss: 0.9600805580615998, prediction loss: 0.4449827536940575
epoch: 56, mdn loss: 0.9600456327199935, prediction loss: 0.44497348815202714
epoch: 57, mdn loss: 0.9600214302539826, prediction loss: 0.4449548214673996
epoch: 58, mdn loss: 0.9599818289279938, prediction loss: 0.4449443623423576
epoch: 59, mdn loss: 0.9599275052547455, prediction loss: 0.4449146628379822
epoch: 60, mdn loss: 0.9598533302545548, prediction loss: 0.44490390419960024
epoch: 61, mdn loss: 0.9597433924674987, prediction loss: 0.44487883150577545
epoch: 62, mdn loss: 0.9596628218889236, prediction loss: 0.44485962986946104
epoch: 63, mdn loss: 0.959613248705864, prediction loss: 0.44486038833856584
epoch: 64, mdn loss: 0.9595799833536148, prediction loss: 0.44483006149530413
epoch: 65, mdn loss: 0.9595696181058884, prediction loss: 0.4448159858584404
epoch: 66, mdn loss: 0.9594731211662293, prediction loss: 0.4447808340191841
epoch: 67, mdn loss: 0.9595456272363663, prediction loss: 0.44477871954441073
epoch: 68, mdn loss: 0.9594415128231049, prediction loss: 0.44475425183773043
epoch: 69, mdn loss: 0.9594131499528885, prediction loss: 0.4447496131062508
epoch: 70, mdn loss: 0.9593263745307923, prediction loss: 0.44472106993198396
epoch: 71, mdn loss: 0.9592864602804184, prediction loss: 0.44472296088933944
epoch: 72, mdn loss: 0.9592101901769639, prediction loss: 0.4446932926774025
epoch: 73, mdn loss: 0.959170126914978, prediction loss: 0.4446788921952248
epoch: 74, mdn loss: 0.9591303616762161, prediction loss: 0.4446802601218224
epoch: 75, mdn loss: 0.9590817540884018, prediction loss: 0.44464492946863177
epoch: 76, mdn loss: 0.9590043634176254, prediction loss: 0.4446281060576439
epoch: 77, mdn loss: 0.9589735239744186, prediction loss: 0.4446253955364227
epoch: 78, mdn loss: 0.9588831752538681, prediction loss: 0.44459796994924544
epoch: 79, mdn loss: 0.9588754862546921, prediction loss: 0.44457241147756577
epoch: 80, mdn loss: 0.9588352084159851, prediction loss: 0.4445522531867027
epoch: 81, mdn loss: 0.9587812483310699, prediction loss: 0.4445470258593559
epoch: 82, mdn loss: 0.9587479650974273, prediction loss: 0.44453548043966296
epoch: 83, mdn loss: 0.9587244123220444, prediction loss: 0.44451154917478564
epoch: 84, mdn loss: 0.9586639404296875, prediction loss: 0.4444846615195274
epoch: 85, mdn loss: 0.9587028324604034, prediction loss: 0.4444911956787109
epoch: 86, mdn loss: 0.9586504936218262, prediction loss: 0.44446845501661303
epoch: 87, mdn loss: 0.9585037231445312, prediction loss: 0.44444668889045713
epoch: 88, mdn loss: 0.9584596574306488, prediction loss: 0.4444471076130867
epoch: 89, mdn loss: 0.9584453880786896, prediction loss: 0.44443733543157576
epoch: 90, mdn loss: 0.9584680646657944, prediction loss: 0.44440902173519137
epoch: 91, mdn loss: 0.9584051668643951, prediction loss: 0.44440895318984985
epoch: 92, mdn loss: 0.9584141939878463, prediction loss: 0.44437565505504606
epoch: 93, mdn loss: 0.9583446055650711, prediction loss: 0.4443715825676918
epoch: 94, mdn loss: 0.9582815021276474, prediction loss: 0.444341678917408
epoch: 95, mdn loss: 0.9582075834274292, prediction loss: 0.44435419589281083
epoch: 96, mdn loss: 0.958176565170288, prediction loss: 0.4443397432565689
epoch: 97, mdn loss: 0.9581879496574401, prediction loss: 0.4443109408020973
epoch: 98, mdn loss: 0.9581030696630478, prediction loss: 0.4442852273583412
epoch: 99, mdn loss: 0.9580432325601578, prediction loss: 0.4442698806524277
