Epoch: 0, Mean Loss: 2.4063840000000005
Epoch: 1, Mean Loss: 2.298519
Epoch: 2, Mean Loss: 2.293755
Epoch: 3, Mean Loss: 2.292158
Epoch: 4, Mean Loss: 2.291127
Epoch: 5, Mean Loss: 2.290104
Epoch: 6, Mean Loss: 2.2889579999999996
Epoch: 7, Mean Loss: 2.2876770000000004
Epoch: 8, Mean Loss: 2.28685
Epoch: 9, Mean Loss: 2.285885
Epoch: 10, Mean Loss: 2.285203
Epoch: 11, Mean Loss: 2.2840879999999997
Epoch: 12, Mean Loss: 2.283346
Epoch: 13, Mean Loss: 2.2823780000000005
Epoch: 14, Mean Loss: 2.281733
Epoch: 15, Mean Loss: 2.280964
Epoch: 16, Mean Loss: 2.2802670000000003
Epoch: 17, Mean Loss: 2.279581
Epoch: 18, Mean Loss: 2.2788190000000004
Epoch: 19, Mean Loss: 2.278056
Epoch: 20, Mean Loss: 2.2774039999999998
Epoch: 21, Mean Loss: 2.27678
Epoch: 22, Mean Loss: 2.2762860000000003
Epoch: 23, Mean Loss: 2.2754920000000003
Epoch: 24, Mean Loss: 2.274807
Epoch: 25, Mean Loss: 2.274097
Epoch: 26, Mean Loss: 2.273394
Epoch: 27, Mean Loss: 2.2728270000000004
Epoch: 28, Mean Loss: 2.271884
Epoch: 29, Mean Loss: 2.2711069999999998
Epoch: 30, Mean Loss: 2.2700800000000005
Epoch: 31, Mean Loss: 2.269093
Epoch: 32, Mean Loss: 2.2681319999999996
Epoch: 33, Mean Loss: 2.267146
Epoch: 34, Mean Loss: 2.266159
Epoch: 35, Mean Loss: 2.2648040000000003
Epoch: 36, Mean Loss: 2.263217
Epoch: 37, Mean Loss: 2.2614
Epoch: 38, Mean Loss: 2.259515
Epoch: 39, Mean Loss: 2.257376
Epoch: 40, Mean Loss: 2.2548490000000005
Epoch: 41, Mean Loss: 2.252004
Epoch: 42, Mean Loss: 2.248675
Epoch: 43, Mean Loss: 2.2446520000000003
Epoch: 44, Mean Loss: 2.2400390000000003
Epoch: 45, Mean Loss: 2.2348799999999995
Epoch: 46, Mean Loss: 2.2287960000000004
Epoch: 47, Mean Loss: 2.2215490000000004
Epoch: 48, Mean Loss: 2.213219
Epoch: 49, Mean Loss: 2.20338
Epoch: 50, Mean Loss: 2.1922940000000004
Epoch: 51, Mean Loss: 2.1792550000000004
Epoch: 52, Mean Loss: 2.1639280000000003
Epoch: 53, Mean Loss: 2.146271
Epoch: 54, Mean Loss: 2.126485
Epoch: 55, Mean Loss: 2.104766
Epoch: 56, Mean Loss: 2.080852
Epoch: 57, Mean Loss: 2.0553930000000005
Epoch: 58, Mean Loss: 2.0287149999999996
Epoch: 59, Mean Loss: 2.0009959999999998
Epoch: 60, Mean Loss: 1.9725659999999998
Epoch: 61, Mean Loss: 1.942805
Epoch: 62, Mean Loss: 1.912409
Epoch: 63, Mean Loss: 1.881052
Epoch: 64, Mean Loss: 1.8492140000000004
Epoch: 65, Mean Loss: 1.8173700000000002
Epoch: 66, Mean Loss: 1.7850349999999997
Epoch: 67, Mean Loss: 1.7520100000000003
Epoch: 68, Mean Loss: 1.719004
Epoch: 69, Mean Loss: 1.685631
Epoch: 70, Mean Loss: 1.6516860000000002
Epoch: 71, Mean Loss: 1.6196170000000003
Epoch: 72, Mean Loss: 1.5880910000000004
Epoch: 73, Mean Loss: 1.555276
Epoch: 74, Mean Loss: 1.5220979999999997
Epoch: 75, Mean Loss: 1.488389
Epoch: 76, Mean Loss: 1.4537520000000002
Epoch: 77, Mean Loss: 1.4184219999999998
Epoch: 78, Mean Loss: 1.3825519999999998
Epoch: 79, Mean Loss: 1.344255
Epoch: 80, Mean Loss: 1.304991
Epoch: 81, Mean Loss: 1.265119
Epoch: 82, Mean Loss: 1.224371
Epoch: 83, Mean Loss: 1.1837959999999996
Epoch: 84, Mean Loss: 1.142304
Epoch: 85, Mean Loss: 1.09905
Epoch: 86, Mean Loss: 1.0546920000000002
Epoch: 87, Mean Loss: 1.009819
Epoch: 88, Mean Loss: 0.9643980000000001
Epoch: 89, Mean Loss: 0.9183
Epoch: 90, Mean Loss: 0.8715139999999999
Epoch: 91, Mean Loss: 0.825165
Epoch: 92, Mean Loss: 0.781442
Epoch: 93, Mean Loss: 0.739416
Epoch: 94, Mean Loss: 0.698365
Epoch: 95, Mean Loss: 0.6580149999999999
Epoch: 96, Mean Loss: 0.620803
Epoch: 97, Mean Loss: 0.584365
Epoch: 98, Mean Loss: 0.5519229999999999
Epoch: 99, Mean Loss: 0.5230169999999998
