epoch: 0, loss: 0.1336, minimizing loss: 1.1357, maximizing loss: 1.1652
epoch: 1, loss: 0.1277, minimizing loss: 1.2721, maximizing loss: 1.3307
epoch: 2, loss: 0.1276, minimizing loss: 1.2648, maximizing loss: 1.3223
epoch: 3, loss: 0.1241, minimizing loss: 1.2397, maximizing loss: 1.2973
epoch: 4, loss: 0.1225, minimizing loss: 1.1644, maximizing loss: 1.2116
epoch: 5, loss: 0.0925, minimizing loss: 0.9401, maximizing loss: 0.9856
epoch: 6, loss: 0.0605, minimizing loss: 0.7539, maximizing loss: 0.8062
epoch: 7, loss: 0.0559, minimizing loss: 0.6975, maximizing loss: 0.7460
epoch: 8, loss: 0.0520, minimizing loss: 0.6597, maximizing loss: 0.7067
epoch: 9, loss: 0.0435, minimizing loss: 0.6169, maximizing loss: 0.6668
epoch: 10, loss: 0.0357, minimizing loss: 0.5883, maximizing loss: 0.6426
epoch: 11, loss: 0.0295, minimizing loss: 0.5589, maximizing loss: 0.6155
epoch: 12, loss: 0.0242, minimizing loss: 0.5280, maximizing loss: 0.5858
epoch: 13, loss: 0.0218, minimizing loss: 0.5015, maximizing loss: 0.5579
epoch: 14, loss: 0.0199, minimizing loss: 0.4858, maximizing loss: 0.5417
epoch: 15, loss: 0.0186, minimizing loss: 0.4763, maximizing loss: 0.5322
epoch: 16, loss: 0.0177, minimizing loss: 0.4679, maximizing loss: 0.5235
epoch: 17, loss: 0.0155, minimizing loss: 0.4499, maximizing loss: 0.5052
epoch: 18, loss: 0.0129, minimizing loss: 0.4339, maximizing loss: 0.4895
epoch: 19, loss: 0.0101, minimizing loss: 0.4202, maximizing loss: 0.4768
epoch: 20, loss: 0.0087, minimizing loss: 0.4150, maximizing loss: 0.4724
epoch: 21, loss: 0.0077, minimizing loss: 0.4119, maximizing loss: 0.4700
epoch: 22, loss: 0.0068, minimizing loss: 0.4105, maximizing loss: 0.4695
epoch: 23, loss: 0.0057, minimizing loss: 0.4097, maximizing loss: 0.4699
epoch: 24, loss: 0.0053, minimizing loss: 0.4092, maximizing loss: 0.4697
epoch: 25, loss: 0.0047, minimizing loss: 0.4051, maximizing loss: 0.4656
epoch: 26, loss: 0.0047, minimizing loss: 0.4058, maximizing loss: 0.4664
epoch: 27, loss: 0.0044, minimizing loss: 0.4062, maximizing loss: 0.4673
epoch: 28, loss: 0.0039, minimizing loss: 0.4021, maximizing loss: 0.4631
epoch: 29, loss: 0.0029, minimizing loss: 0.3972, maximizing loss: 0.4585
epoch: 30, loss: 0.0024, minimizing loss: 0.3934, maximizing loss: 0.4546
epoch: 31, loss: 0.0016, minimizing loss: 0.3886, maximizing loss: 0.4500
epoch: 32, loss: 0.0004, minimizing loss: 0.3827, maximizing loss: 0.4446
epoch: 33, loss: 0.0001, minimizing loss: 0.3794, maximizing loss: 0.4411
epoch: 34, loss: -0.0006, minimizing loss: 0.3756, maximizing loss: 0.4375
epoch: 35, loss: -0.0016, minimizing loss: 0.3722, maximizing loss: 0.4346
epoch: 36, loss: -0.0015, minimizing loss: 0.3729, maximizing loss: 0.4353
epoch: 37, loss: -0.0021, minimizing loss: 0.3685, maximizing loss: 0.4309
epoch: 38, loss: -0.0020, minimizing loss: 0.3636, maximizing loss: 0.4250
epoch: 39, loss: -0.0024, minimizing loss: 0.3629, maximizing loss: 0.4248
epoch: 40, loss: -0.0023, minimizing loss: 0.3616, maximizing loss: 0.4232
epoch: 41, loss: -0.0028, minimizing loss: 0.3605, maximizing loss: 0.4225
epoch: 42, loss: -0.0026, minimizing loss: 0.3633, maximizing loss: 0.4255
epoch: 43, loss: -0.0024, minimizing loss: 0.3636, maximizing loss: 0.4257
epoch: 44, loss: -0.0025, minimizing loss: 0.3643, maximizing loss: 0.4265
epoch: 45, loss: -0.0027, minimizing loss: 0.3639, maximizing loss: 0.4263
epoch: 46, loss: -0.0023, minimizing loss: 0.3658, maximizing loss: 0.4280
epoch: 47, loss: -0.0023, minimizing loss: 0.3653, maximizing loss: 0.4274
epoch: 48, loss: -0.0027, minimizing loss: 0.3643, maximizing loss: 0.4268
epoch: 49, loss: -0.0030, minimizing loss: 0.3622, maximizing loss: 0.4247
epoch: 50, loss: -0.0033, minimizing loss: 0.3617, maximizing loss: 0.4244
epoch: 51, loss: -0.0032, minimizing loss: 0.3608, maximizing loss: 0.4233
epoch: 52, loss: -0.0031, minimizing loss: 0.3609, maximizing loss: 0.4232
epoch: 53, loss: -0.0035, minimizing loss: 0.3607, maximizing loss: 0.4234
epoch: 54, loss: -0.0035, minimizing loss: 0.3624, maximizing loss: 0.4255
epoch: 55, loss: -0.0037, minimizing loss: 0.3632, maximizing loss: 0.4267
epoch: 56, loss: -0.0042, minimizing loss: 0.3628, maximizing loss: 0.4267
epoch: 57, loss: -0.0051, minimizing loss: 0.3624, maximizing loss: 0.4273
epoch: 58, loss: -0.0045, minimizing loss: 0.3656, maximizing loss: 0.4303
epoch: 59, loss: -0.0046, minimizing loss: 0.3662, maximizing loss: 0.4311
epoch: 60, loss: -0.0047, minimizing loss: 0.3635, maximizing loss: 0.4281
epoch: 61, loss: -0.0052, minimizing loss: 0.3660, maximizing loss: 0.4316
epoch: 62, loss: -0.0057, minimizing loss: 0.3663, maximizing loss: 0.4325
epoch: 63, loss: -0.0062, minimizing loss: 0.3666, maximizing loss: 0.4335
epoch: 64, loss: -0.0066, minimizing loss: 0.3669, maximizing loss: 0.4343
epoch: 65, loss: -0.0067, minimizing loss: 0.3669, maximizing loss: 0.4344
epoch: 66, loss: -0.0065, minimizing loss: 0.3664, maximizing loss: 0.4337
epoch: 67, loss: -0.0068, minimizing loss: 0.3646, maximizing loss: 0.4319
epoch: 68, loss: -0.0068, minimizing loss: 0.3642, maximizing loss: 0.4315
epoch: 69, loss: -0.0071, minimizing loss: 0.3625, maximizing loss: 0.4297
epoch: 70, loss: -0.0065, minimizing loss: 0.3638, maximizing loss: 0.4305
epoch: 71, loss: -0.0069, minimizing loss: 0.3593, maximizing loss: 0.4258
epoch: 72, loss: -0.0065, minimizing loss: 0.3591, maximizing loss: 0.4251
epoch: 73, loss: -0.0065, minimizing loss: 0.3642, maximizing loss: 0.4310
epoch: 74, loss: -0.0063, minimizing loss: 0.3599, maximizing loss: 0.4258
epoch: 75, loss: -0.0062, minimizing loss: 0.3630, maximizing loss: 0.4293
epoch: 76, loss: -0.0065, minimizing loss: 0.3676, maximizing loss: 0.4350
epoch: 77, loss: -0.0071, minimizing loss: 0.3635, maximizing loss: 0.4310
epoch: 78, loss: -0.0066, minimizing loss: 0.3576, maximizing loss: 0.4236
epoch: 79, loss: -0.0061, minimizing loss: 0.3639, maximizing loss: 0.4303
epoch: 80, loss: -0.0058, minimizing loss: 0.3703, maximizing loss: 0.4373
epoch: 81, loss: -0.0060, minimizing loss: 0.3705, maximizing loss: 0.4378
epoch: 82, loss: -0.0055, minimizing loss: 0.3713, maximizing loss: 0.4381
epoch: 83, loss: -0.0050, minimizing loss: 0.3706, maximizing loss: 0.4367
epoch: 84, loss: -0.0046, minimizing loss: 0.3783, maximizing loss: 0.4453
epoch: 85, loss: -0.0065, minimizing loss: 0.3810, maximizing loss: 0.4505
epoch: 86, loss: -0.0049, minimizing loss: 0.3890, maximizing loss: 0.4580
epoch: 87, loss: -0.0034, minimizing loss: 0.3787, maximizing loss: 0.4443
epoch: 88, loss: -0.0047, minimizing loss: 0.3901, maximizing loss: 0.4591
epoch: 89, loss: -0.0020, minimizing loss: 0.3977, maximizing loss: 0.4648
epoch: 90, loss: -0.0053, minimizing loss: 0.4044, maximizing loss: 0.4765
epoch: 91, loss: -0.0055, minimizing loss: 0.3939, maximizing loss: 0.4644
epoch: 92, loss: 0.0032, minimizing loss: 0.4118, maximizing loss: 0.4752
epoch: 93, loss: 0.0008, minimizing loss: 0.4237, maximizing loss: 0.4918
epoch: 94, loss: -0.0021, minimizing loss: 0.4248, maximizing loss: 0.4965
epoch: 95, loss: -0.0077, minimizing loss: 0.4292, maximizing loss: 0.5081
epoch: 96, loss: -0.0037, minimizing loss: 0.4130, maximizing loss: 0.4846
epoch: 97, loss: 0.0008, minimizing loss: 0.4183, maximizing loss: 0.4855
epoch: 98, loss: 0.0056, minimizing loss: 0.4644, maximizing loss: 0.5335
epoch: 99, loss: 0.0083, minimizing loss: 0.4948, maximizing loss: 0.5657
epoch: 100, loss: 0.0106, minimizing loss: 0.5179, maximizing loss: 0.5899
epoch: 101, loss: 0.0038, minimizing loss: 0.4858, maximizing loss: 0.5605
epoch: 102, loss: 0.0067, minimizing loss: 0.5427, maximizing loss: 0.6232
epoch: 103, loss: 0.0061, minimizing loss: 0.5530, maximizing loss: 0.6360
epoch: 104, loss: 0.0100, minimizing loss: 0.5810, maximizing loss: 0.6639
epoch: 105, loss: 0.0010, minimizing loss: 0.5497, maximizing loss: 0.6381
epoch: 106, loss: -0.0022, minimizing loss: 0.6185, maximizing loss: 0.7217
epoch: 107, loss: -0.0027, minimizing loss: 0.5830, maximizing loss: 0.6810
epoch: 108, loss: -0.0032, minimizing loss: 0.5438, maximizing loss: 0.6360
epoch: 109, loss: 0.0008, minimizing loss: 0.5407, maximizing loss: 0.6278
epoch: 110, loss: 0.0085, minimizing loss: 0.4079, maximizing loss: 0.4644
epoch: 111, loss: 0.0251, minimizing loss: 0.5025, maximizing loss: 0.5551
epoch: 112, loss: 0.0320, minimizing loss: 0.6767, maximizing loss: 0.7497
epoch: 113, loss: 0.0110, minimizing loss: 0.8655, maximizing loss: 0.9937
epoch: 114, loss: 0.0134, minimizing loss: 0.3762, maximizing loss: 0.4218
epoch: 115, loss: 0.0078, minimizing loss: 0.3839, maximizing loss: 0.4373
epoch: 116, loss: 0.0310, minimizing loss: 0.4740, maximizing loss: 0.5151
epoch: 117, loss: -0.0070, minimizing loss: 0.4319, maximizing loss: 0.5103
epoch: 118, loss: 0.0755, minimizing loss: 0.6657, maximizing loss: 0.6863
epoch: 119, loss: 0.0403, minimizing loss: 0.6558, maximizing loss: 0.7156
epoch: 120, loss: 0.0284, minimizing loss: 0.6027, maximizing loss: 0.6678
epoch: 121, loss: 0.0243, minimizing loss: 0.5670, maximizing loss: 0.6310
epoch: 122, loss: 0.0051, minimizing loss: 0.4294, maximizing loss: 0.4934
epoch: 123, loss: 0.0031, minimizing loss: 0.4027, maximizing loss: 0.4646
epoch: 124, loss: 0.0048, minimizing loss: 0.4182, maximizing loss: 0.4807
epoch: 125, loss: 0.1225, minimizing loss: 0.8986, maximizing loss: 0.9024
epoch: 126, loss: 0.0175, minimizing loss: 0.4812, maximizing loss: 0.5391
epoch: 127, loss: 0.0118, minimizing loss: 0.4502, maximizing loss: 0.5098
epoch: 128, loss: 0.0136, minimizing loss: 0.4751, maximizing loss: 0.5366
epoch: 129, loss: -0.0062, minimizing loss: 0.4108, maximizing loss: 0.4849
epoch: 130, loss: -0.0102, minimizing loss: 0.4091, maximizing loss: 0.4875
epoch: 131, loss: -0.0067, minimizing loss: 0.4270, maximizing loss: 0.5042
epoch: 132, loss: 0.0058, minimizing loss: 0.4468, maximizing loss: 0.5128
epoch: 133, loss: 0.0182, minimizing loss: 0.4916, maximizing loss: 0.5504
epoch: 134, loss: 0.0148, minimizing loss: 0.5745, maximizing loss: 0.6508
epoch: 135, loss: 1.0543, minimizing loss: 2.4818, maximizing loss: 1.6599
epoch: 136, loss: 0.0497, minimizing loss: 0.6524, maximizing loss: 0.7008
epoch: 137, loss: 0.0293, minimizing loss: 0.4974, maximizing loss: 0.5443
epoch: 138, loss: 0.0211, minimizing loss: 0.4366, maximizing loss: 0.4831
epoch: 139, loss: 0.0254, minimizing loss: 0.4454, maximizing loss: 0.4883
epoch: 140, loss: 0.0365, minimizing loss: 0.4616, maximizing loss: 0.4943
epoch: 141, loss: 0.0601, minimizing loss: 0.5192, maximizing loss: 0.5339
epoch: 142, loss: 0.0701, minimizing loss: 0.5410, maximizing loss: 0.5475
epoch: 143, loss: 0.0249, minimizing loss: 0.4688, maximizing loss: 0.5161
epoch: 144, loss: 0.0227, minimizing loss: 0.4253, maximizing loss: 0.4681
epoch: 145, loss: 0.0488, minimizing loss: 0.5441, maximizing loss: 0.5760
epoch: 146, loss: 0.0349, minimizing loss: 0.5149, maximizing loss: 0.5582
